Variable,Description,URL,Category,UKB.dataset.ID,Field.ID
asthma_diagnosis,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6152,Medical conditions,f.6152.0.0,6152
DVT_diagnosis,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6152,Medical conditions,f.6152.0.1 - f.6152.0.4,6152
hayfever_diagnosis,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6152,Medical conditions,f.6152.0.1 - f.6152.0.4,6152
bronchitis_emphysema_diagnosis,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6152,Medical conditions,f.6152.0.1 - f.6152.0.4,6152
blood_clot_lung_diagnosis,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6152,Medical conditions,f.6152.0.1 - f.6152.0.4,6152
diabetes_diagnosis,Diabetes diagnosed by doctor,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2443,Medical conditions,f.2443.0.0,2443
cancer_diagnosis,Cancer diagnosed by doctor,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2453,Medical conditions,f.2453.0.0,2453
fracture_last_5yrs,Fractured/broken bones in last 5 years,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2463,Medical conditions,f.2463.0.0,2463
number_cancers,Number of self-reported cancers,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=134,Medical conditions,f.134.0.0,134
number_illnesses,Number of self-reported non-cancer illnesses,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=135,Medical conditions,f.135.0.0,135
glasses,Wears glasses or contact lenses,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2207,Medical conditions,f.2207.0.0,2207
macular_degeneration,Eye problems/disorders,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6148,Medical conditions,f.6148.0.0 - f.6148.0.4,6148
cataract,Eye problems/disorders,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6148,Medical conditions,f.6148.0.0 - f.6148.0.5,6148
trauma_vision_loss,Eye problems/disorders,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6148,Medical conditions,f.6148.0.0 - f.6148.0.7,6148
bleeding_gums,Mouth/teeth dental problems,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6149,Medical conditions,f.6149.0.0 - f.6149.0.5,6149
dentures,Mouth/teeth dental problems,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6149,Medical conditions,f.6149.0.0 - f.6149.0.6,6149
toothache,Mouth/teeth dental problems,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6149,Medical conditions,f.6149.0.0 - f.6149.0.7,6149
mouth_ulcers,Mouth/teeth dental problems,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6149,Medical conditions,f.6149.0.0 - f.6149.0.8,6149
painful_gums,Mouth/teeth dental problems,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6149,Medical conditions,f.6149.0.0 - f.6149.0.9,6149
loose_teeth,Mouth/teeth dental problems,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6149,Medical conditions,f.6149.0.0 - f.6149.0.10,6149
overall_health,Overall health rating,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2178,General health,f.2178.0.0,2178
chronic_illness,"Long-standing illness, disability or infirmity",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2188,General health,f.2188.0.0,2188
falls_last_1yr,Falls in the last year,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2296,General health,f.2296.0.0,2296
weight_change_last_1yr,Weight change compared with 1 year ago,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2306,General health,f.2306.0.0,2306
chest_weeze_last_1yr,Wheeze or whistling in the chest in last year,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2316,Medical conditions,f.2316.0.0,2316
shortness_breath,Shortness of breath walking on level ground,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4717,Medical conditions,f.4717.0.0,4717
leg_pain_walking,Leg pain on walking,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4728,Medical conditions,f.4728.0.0,4728
neck_pain_1month,Pain type(s) experienced in last month,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6159,Medical conditions,f.6159.0.0 - f.6159.0.6,6159
whole_body_pain_1month,Pain type(s) experienced in last month,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6159,Medical conditions,f.6159.0.0 - f.6159.0.7,6159
headaches_1month,Pain type(s) experienced in last month,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6159,Medical conditions,f.6159.0.0 - f.6159.0.8,6159
knee_pain_1month,Pain type(s) experienced in last month,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6159,Medical conditions,f.6159.0.0 - f.6159.0.9,6159
stomach_pain_1month,Pain type(s) experienced in last month,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6159,Medical conditions,f.6159.0.0 - f.6159.0.10,6159
facial_pain_1month,Pain type(s) experienced in last month,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6159,Medical conditions,f.6159.0.0 - f.6159.0.11,6159
back_pain_1month,Pain type(s) experienced in last month,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6159,Medical conditions,f.6159.0.0 - f.6159.0.12,6159
hip_pain_1month,Pain type(s) experienced in last month,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6159,Medical conditions,f.6159.0.0 - f.6159.0.13,6159
back_pain_3months,Back pain for 3+ months,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=3571,Medical conditions,f.3571.0.0,3571
chest_pain,Chest pain or discomfort,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2335,Medical conditions,f.2335.0.0,2335
major_operations,Had major operations,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2415,Medical conditions,f.2415.0.0,2415
other_operations,Had other major operations,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2844,Medical conditions,f.2844.0.0,2844
number_operations,"Number of operations, self-reported",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=136,Medical conditions,f.136.0.0,136
pace_maker,Pace-maker,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=3079,Medical conditions,f.3079.0.0,3079
hearing_difficulty,Hearing difficulty/problems,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2247,Medical conditions,f.2247.0.0,2247
hearing_difficulty_background,Hearing difficulty/problems with background noise,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2257,Medical conditions,f.2257.0.0,2257
hearing_aid,Hearing aid user,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=3393,Medical conditions,f.3393.0.0,3393
cochlear_implant,Cochlear implant,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4792,Medical conditions,f.4792.0.0,4792
tinnitus,Tinnitus,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4803,Medical conditions,f.4803.0.0,4803
loud_music_exposure,Loud music exposure frequency,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4836,Medical conditions,f.4836.0.0,4836
bowel_cancer_screening,Ever had bowel cancer screening,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2345,Medical conditions,f.2345.0.0,2345
PSA_test,Ever had prostate specific antigen (PSA) test,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2365,Medical conditions,f.2365.0.0,2365
cholesterol_meds,"Medication for cholesterol, blood pressure or diabetes",https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6177,Medications,f.6177.0.0 - f.6177.0.2,6177
blood_pressure_meds,"Medication for cholesterol, blood pressure or diabetes",https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6177,Medications,f.6177.0.0 - f.6177.0.2,6177
insulin,"Medication for cholesterol, blood pressure or diabetes",https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6177,Medications,f.6177.0.0 - f.6177.0.2,6177
aspirin,"Medication for pain relief, constipation, heartburn",https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154,Medications,f.6154.0.0 - f.6154.0.5,6154
paracetamol,"Medication for pain relief, constipation, heartburn",https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154,Medications,f.6154.0.0 - f.6154.0.5,6154
ibuprofen,"Medication for pain relief, constipation, heartburn",https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154,Medications,f.6154.0.0 - f.6154.0.5,6154
omeprazole,"Medication for pain relief, constipation, heartburn",https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154,Medications,f.6154.0.0 - f.6154.0.5,6154
ranitidine,"Medication for pain relief, constipation, heartburn",https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154,Medications,f.6154.0.0 - f.6154.0.5,6154
laxatives,"Medication for pain relief, constipation, heartburn",https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154,Medications,f.6154.0.0 - f.6154.0.5,6154
number_medications,Number of treatments/medications taken,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=137,Medications,f.137.0.0,137
multivitamin_supplements,Vitamin and mineral supplements,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155,Supplements,f.6155.0.0 - f.6155.0.6,6155
vitamin_A_supplements,Vitamin and mineral supplements,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155,Supplements,f.6155.0.0 - f.6155.0.6,6155
vitamin_B_supplements,Vitamin and mineral supplements,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155,Supplements,f.6155.0.0 - f.6155.0.6,6155
vitamin_C_supplements,Vitamin and mineral supplements,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155,Supplements,f.6155.0.0 - f.6155.0.6,6155
vitamin_D_supplements,Vitamin and mineral supplements,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155,Supplements,f.6155.0.0 - f.6155.0.6,6155
vitamin_E_supplements,Vitamin and mineral supplements,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155,Supplements,f.6155.0.0 - f.6155.0.6,6155
folate_supplements,Vitamin and mineral supplements,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155,Supplements,f.6155.0.0 - f.6155.0.6,6155
fish_oil_supplements,Mineral and other dietary supplements,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179,Supplements,f.6179.0.0 - f.6179.0.5,6179
calcium_supplements,Mineral and other dietary supplements,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179,Supplements,f.6179.0.0 - f.6179.0.5,6179
selenium_supplements,Mineral and other dietary supplements,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179,Supplements,f.6179.0.0 - f.6179.0.5,6179
glucosamine_supplements,Mineral and other dietary supplements,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179,Supplements,f.6179.0.0 - f.6179.0.5,6179
iron_supplements,Mineral and other dietary supplements,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179,Supplements,f.6179.0.0 - f.6179.0.5,6179
zinc_supplements,Mineral and other dietary supplements,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179,Supplements,f.6179.0.0 - f.6179.0.5,6179
age_facial_hair,Relative age of first facial hair,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2375,Male reproductive factors,f.2375.0.0,2375
age_voice,Relative age voice broke,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2385,Male reproductive factors,f.2385.0.0,2385
balding,Hair/balding pattern,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2395,Male reproductive factors,f.2395.0.0,2395
number_children,Number of children fathered,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2405,Male reproductive factors,f.2405.0.0,2405
mammogram,Ever had breast cancer screening / mammogram,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2674,Female reproductive factors,f.2674.0.0,2674
