Variable,Description,URL,Levels,Category,UKB dataset ID,Field ID,Notes,Description,Years collected,UKB Assessment,UKB Category
mother_alzheimers,Illnesses of mother,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110,,Family medical history,f.20110.0.0 - f.20110.0.10,20110,,,2006-2010,ACE/Touchscreen,Family history
mother_severe_depression,Illnesses of mother,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110,,Family medical history,f.20110.0.0 - f.20110.0.10,20110,,,,,
mother_parkinsons,Illnesses of mother,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110,,Family medical history,f.20110.0.0 - f.20110.0.10,20110,,,,,
mother_diabetes,Illnesses of mother,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110,,Family medical history,f.20110.0.0 - f.20110.0.10,20110,,,,,
mother_high_blood_pressure,Illnesses of mother,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110,,Family medical history,f.20110.0.0 - f.20110.0.10,20110,,,,,
mother_bronchitis_emphysema,Illnesses of mother,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110,,Family medical history,f.20110.0.0 - f.20110.0.10,20110,,,,,
mother_breast_cancer,Illnesses of mother,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110,,Family medical history,f.20110.0.0 - f.20110.0.10,20110,,,,,
mother_bowel_cancer,Illnesses of mother,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110,,Family medical history,f.20110.0.0 - f.20110.0.10,20110,,,,,
mother_lung_cancer,Illnesses of mother,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110,,Family medical history,f.20110.0.0 - f.20110.0.10,20110,,,,,
mother_stroke,Illnesses of mother,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110,,Family medical history,f.20110.0.0 - f.20110.0.10,20110,,,,,
mother_heart_disease,Illnesses of mother,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110,,Family medical history,f.20110.0.0 - f.20110.0.10,20110,,,,,
sibling_alzheimers,Illnesses of siblings,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111,,Family medical history,f.20111.0.0 - f.20111.0.11,20111,,,2006-2010,ACE/Touchscreen,Family history
sibling_severe_depression,Illnesses of siblings,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111,,Family medical history,f.20111.0.0 - f.20111.0.11,20111,,,,,
sibling_parkinsons,Illnesses of siblings,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111,,Family medical history,f.20111.0.0 - f.20111.0.11,20111,,,,,
sibling_diabetes,Illnesses of siblings,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111,,Family medical history,f.20111.0.0 - f.20111.0.11,20111,,,,,
sibling_high_blood_pressure,Illnesses of siblings,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111,,Family medical history,f.20111.0.0 - f.20111.0.11,20111,,,,,
sibling_bronchitis_emphysema,Illnesses of siblings,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111,,Family medical history,f.20111.0.0 - f.20111.0.11,20111,,,,,
sibling_breast_cancer,Illnesses of siblings,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111,,Family medical history,f.20111.0.0 - f.20111.0.11,20111,,,,,
sibling_prostate_cancer,Illnesses of siblings,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111,,Family medical history,f.20111.0.0 - f.20111.0.11,20111,,,,,
sibling_bowel_cancer,Illnesses of siblings,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111,,Family medical history,f.20111.0.0 - f.20111.0.11,20111,,,,,
sibling_lung_cancer,Illnesses of siblings,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111,,Family medical history,f.20111.0.0 - f.20111.0.11,20111,,,,,
sibling_stroke,Illnesses of siblings,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111,,Family medical history,f.20111.0.0 - f.20111.0.11,20111,,,,,
sibling_heart_disease,Illnesses of siblings,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111,,Family medical history,f.20111.0.0 - f.20111.0.11,20111,,,,,
death_close_family,Non-accidental death in close genetic family,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4501,,Family medical history,f.4501.0.0,4501,,,2006-2010,ACE/Touchscreen,Family history
father_alive,Father still alive,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1797,,Family medical history,f.1797.0.0,1797,,,2006-2010,ACE/Touchscreen,Family history
adopted_father_alive,Adopted father still alive,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=3912,,Family medical history,f.3912.0.0,3912,,,2006-2010,ACE/Touchscreen,Family history
father_age,Father's age,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2946,,Family medical history,f.2946.0.0,2946,,,2006-2010,ACE/Touchscreen,Family history
father_age_death,Father's age at death,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1807,,Family medical history,f.1807.0.0,1807,,,2006-2010,ACE/Touchscreen,Family history
mother_alive,Mother still alive,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1835,,Family medical history,f.1835.0.0,1835,,,2006-2010,ACE/Touchscreen,Family history
adopted_mother_alive,Adopted mother still alive,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=3942,,Family medical history,f.3942.0.0,3942,,,2006-2010,ACE/Touchscreen,Family history
mother_age,Mother's age,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1845,,Family medical history,f.1845.0.0,1845,,,2006-2010,ACE/Touchscreen,Family history
mother_age_death,Mother's age at death,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=3526,,Family medical history,f.3526.0.0,3526,,,2006-2010,ACE/Touchscreen,Family history
number_brothers,Number of full brothers,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1873,,Family medical history,f.1873.0.0,1873,,,2006-2010,ACE/Touchscreen,Family history
number_adopted_brothers,Number of adopted brothers,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=3972,,Family medical history,f.3972.0.0,3972,,,2006-2010,ACE/Touchscreen,Family history
number_sisters,Number of full sisters,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1883,,Family medical history,f.1883.0.0,1883,,,2006-2010,ACE/Touchscreen,Family history
number_adopted_sisters,Number of adopted sisters,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=3982,,Family medical history,f.3982.0.0,3982,,,2006-2010,ACE/Touchscreen,Family history
number_older_siblings,Number of older siblings,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=5057,,Family medical history,f.5057.0.0,5057,,,2006-2010,ACE/Touchscreen,Family history
heart_attack_diagnosis,Vascular/heart problems diagnosed by doctor,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6150,,Medical conditions,f.6150.0.0 - f.6150.0.3,6150,,,2006-2010,ACE/Touchscreen,Medical conditions
stroke_diagnosis,Vascular/heart problems diagnosed by doctor,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6150,,Medical conditions,f.6150.0.0 - f.6150.0.3,6150,,,,,
angina_diagnosis,Vascular/heart problems diagnosed by doctor,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6150,,Medical conditions,f.6150.0.0 - f.6150.0.3,6150,,,,,
high_blood_pressure_diagnosis,Vascular/heart problems diagnosed by doctor,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6150,,Medical conditions,f.6150.0.0 - f.6150.0.3,6150,,,,,
MI_diagnosis_age,Age heart attack diagnosed,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=3894,,Medical conditions,f.3894.0.0,3894,,,2006-2010,ACE/Touchscreen,Medical conditions
angina_diagnosis_age,Age angina diagnosed,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=3627,,Medical conditions,f.3627.0.0,3627,,,2006-2010,ACE/Touchscreen,Medical conditions
